Timestamp;I agree to participate in this research;Type this code: CJX0A6;;Question 1. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (1);Question 2. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (2);Question 3. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (3);Question 4. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (4);Question 5. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (5);Question 6. Read the following statement and indicate your belief on the scale below.;Explanation for rank of statement (6);I confirm that I have noted the above verification code for submission on Mechanical Turk.;Finally, any thoughts you wish to add about your experience participating in this survey?
2020/11/24 9:37:01 am EET;Yes;CJX0A6;giggle;2;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;2;I do not endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;1;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;No.
2020/11/24 10:44:20 am EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;3;I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;5;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;
2020/11/24 10:48:03 am EET;Yes;CJX0A6;giggle;3;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;2;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;3;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;4;I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;Good.
2020/11/24 11:48:13 am EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;4;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;4;I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;4;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;good
2020/11/24 12:38:10 pm EET;Yes;CJX0A6;giggle;5;I do not endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;4;I do not endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;3;I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;4;I do not endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do not endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;good
2020/11/24 12:48:21 pm EET;Yes;CJX0A6;giggle;5;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;4;I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do not endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;3;I do not endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;i like this survey very much
2020/11/24 1:00:29 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;4;I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;"I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;I do not endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.";4;I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;2;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;its really good
2020/11/24 1:45:42 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;1;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;Nope
2020/11/24 1:49:24 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;4;I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;5;I do not endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;4;I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;4;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;good survey
2020/11/24 1:49:44 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;4;I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;4;I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;4;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;4;I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;"nothing
"
2020/11/24 3:03:05 pm EET;Yes;CJX0A6;giggle;2;I do not endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;5;I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;1;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;5;I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.;5;I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.;3;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;nothing
2020/11/24 3:04:49 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;2;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;3;I do not endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;3;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;This is quite an odd, unique survey. I liked it. Thank you. 
2020/11/24 5:12:30 pm EET;Yes;CJX0A6;giggle;1;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;2;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;1;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;2;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;Thanks, this was a fun hit.  Everything worked fine.
2020/11/24 5:13:14 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;5;I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;3;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;3;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;3;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;3;I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;NICE QUESTIONS
2020/11/24 5:16:36 pm EET;Yes;CJX0A6;giggle;4;I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;1;I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;2;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;2;I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;5;I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.;Yes;n/a
2020/11/24 5:16:54 pm EET;Yes;CJX0A6;giggle;3;"I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.;I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.;I do not endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.";5;I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.;4;I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.;3;I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.;4;"I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.;I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.";4;I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.;Yes;n/a
