timestamp_raw,consent,captcha_code,language_question,rank_statement_7,explanation_statement_7,rank_statement_8,explanation_statement_8,rank_statement_9,explanation_statement_9,rank_statement_10,explanation_statement_10,rank_statement_11,explanation_statement_11,rank_statement_12,explanation_statement_12,mturk_ID_consent,mturk_ID,feedback
2020/11/24 9:37:01 am EET,Yes,CJX0A6,giggle,2,I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.,1,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,4,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,2,I do not endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,1,I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,5,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,AKZ8SFOAI4RZN,No.
2020/11/24 10:44:20 am EET,Yes,CJX0A6,giggle,4,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,3,I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.,5,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,2,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,4,I do endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,5,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,A37EV8RZ82WT8E,NA
2020/11/24 10:48:03 am EET,Yes,CJX0A6,giggle,3,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,2,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,3,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,4,I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,4,I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.,4,I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,A32O4EW494LJOL,Good.
2020/11/24 11:48:13 am EET,Yes,CJX0A6,giggle,4,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,4,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,4,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,4,I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,4,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,4,I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,A125P84OW0W6Q9,good
2020/11/24 12:38:10 pm EET,Yes,CJX0A6,giggle,5,I do not endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,4,I do not endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.,4,I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.,3,I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,4,I do not endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.,4,I do not endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,A22W4Y4UI182L2,good
2020/11/24 1:00:29 pm EET,Yes,CJX0A6,giggle,4,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,4,I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,4,I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.;I do not endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,4,I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,2,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,4,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,A1XS4H15IKH0YL,its really good
2020/11/24 1:45:42 pm EET,Yes,CJX0A6,giggle,4,I do endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,1,I do endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,4,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,1,I do endorse the statement that Harold C is an office manager. I do not endorse the statement that Harold C does have a short temper.,4,I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.,5,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,A1XHK92L7Q7VEU,Nope
2020/11/24 1:49:24 pm EET,Yes,CJX0A6,giggle,4,I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.,4,I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.,5,I do not endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.,4,I do not endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,4,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,4,I do not endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,A1JMOCNCSKN0MH,good survey
2020/11/24 1:49:44 pm EET,Yes,CJX0A6,giggle,4,I do endorse the statement that Michaela W is an actress. I do not endorse the statement that Michaela W is hard to please.,4,I do not endorse the statement that Liam F is a computer science student. I do not endorse the statement that Liam F is a hacker.,4,I do endorse the statement that Carina K is a lawyer. I do not endorse the statement that Carina K does tell lies.,4,I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,4,I do not endorse the statement that Margaret R is a baker. I do not endorse the statement that Margaret R does get up early in the morning to bake bread.,4,I do endorse the statement that Eric V is a football player from Slovenia. I do not endorse the statement that Eric V is a football player from Slovenia.,Yes,A3OMCO1B3Q1ET0,"nothing
"
2020/11/24 3:03:05 pm EET,Yes,CJX0A6,giggle,2,I do not endorse the statement that Michaela W is an actress. I do endorse the statement that Michaela W is hard to please.,5,I do endorse the statement that Liam F is a computer science student. I do endorse the statement that Liam F is a hacker.,1,I do endorse the statement that Carina K is a lawyer. I do endorse the statement that Carina K does tell lies.,5,I do endorse the statement that Harold C is an office manager. I do endorse the statement that Harold C does have a short temper.,5,I do endorse the statement that Margaret R is a baker. I do endorse the statement that Margaret R does get up early in the morning to bake bread.,3,I do endorse the statement that Eric V is a football player from Slovenia. I do endorse the statement that Eric V is a football player from Slovenia.,Yes,A2V3QFDXHIE54W,nothing
